id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1357940537639112705,1357940537639112705,2021-02-06 14:33:48 Malay Peninsula Standard Time,2021-02-06,14:33:48,+0800,1259555963641589760,airplanechild1,bitch ass whore nut,,if you can gaze into the future  https://t.co/HOml19etzb,en,[],[],"['https://pbs.twimg.com/media/Ethfs1QVgAE96Q7.jpg', 'https://pbs.twimg.com/media/EthfttcVgAIOkl1.jpg']",0,0,0,[],[],https://twitter.com/airplanechild1/status/1357940537639112705,False,,1,https://pbs.twimg.com/media/Ethfs1QVgAE96Q7.jpg,,,,,,,[],,,,
1357940526255808512,1357940339521298435,2021-02-06 14:33:45 Malay Peninsula Standard Time,2021-02-06,14:33:45,+0800,167197431,penguinnszn,😈,,@azaliyahsimone Make you feel like just another whore 🥲🤣,en,[],[],[],0,0,0,[],[],https://twitter.com/PenguinnSzn/status/1357940526255808512,False,,0,,,,,,,,"[{'screen_name': 'azaliyahsimone', 'name': 'outlaw🕷', 'id': '805953879485673474'}]",,,,
1357940523198210048,1357939632722296840,2021-02-06 14:33:44 Malay Peninsula Standard Time,2021-02-06,14:33:44,+0800,1046561262786813953,serious__black,the dark lord’s whore,,I can’t watch this I got 12 hrs of overtime to do tomorrow.,en,[],[],[],0,0,0,[],[],https://twitter.com/serious__black/status/1357940523198210048,False,,0,,,,,,,,[],,,,
1357940521034014720,1357940521034014720,2021-02-06 14:33:44 Malay Peninsula Standard Time,2021-02-06,14:33:44,+0800,1353431239680794625,sweetscentedpu1,sweetscentedpu1,,I want to be a #pussy #slut,en,[],[],[],0,0,0,"['pussy', 'slut']",[],https://twitter.com/sweetscentedpu1/status/1357940521034014720,False,,0,,,,,,,,[],,,,
1357940520153063431,1357860960254517248,2021-02-06 14:33:43 Malay Peninsula Standard Time,2021-02-06,14:33:43,+0800,523981498,mrsmacmccoy,Janet Brown-McCoy,,"@mtgreenee Lol, you attention getting whore",en,[],[],[],0,0,0,[],[],https://twitter.com/mrsmacmccoy/status/1357940520153063431,False,,0,,,,,,,,"[{'screen_name': 'mtgreenee', 'name': 'Marjorie Taylor Greene 🇺🇸', 'id': '826065164504006657'}]",,,,
1357940515858116611,1357940364309536769,2021-02-06 14:33:42 Malay Peninsula Standard Time,2021-02-06,14:33:42,+0800,1313714645287436289,daddysgirlmadi,Madison Heart❤,,DM me something sexy for a nude back.❤️  #horny #daddy #sexting  #nudes #boobs #tits #pussy  #cumslut #blowjob #sex #slut #ass #dick #cock #jailbait #bbc #gangbang #fuck #fuckme #whore #cumtribute #nude #freenudes #teen #freeonlyfans,en,[],[],[],0,0,0,"['horny', 'daddy', 'sexting', 'nudes', 'boobs', 'tits', 'pussy', 'cumslut', 'blowjob', 'sex', 'slut', 'ass', 'dick', 'cock', 'jailbait', 'bbc', 'gangbang', 'fuck', 'fuckme', 'whore', 'cumtribute', 'nude', 'freenudes', 'teen', 'freeonlyfans']",[],https://twitter.com/daddysgirlmadi/status/1357940515858116611,False,,0,,,,,,,,[],,,,
1357940512041406464,1357457850377846791,2021-02-06 14:33:42 Malay Peninsula Standard Time,2021-02-06,14:33:42,+0800,1357940022742237184,gankstanipppp,GANKSTANIPPPP,,@TristinGonzalez TRISTIN YOU WILL NEVER BE SPIKE SPIEGLE YOU ARE FOREVER PASSIVE AGGRESSIVE HOME DEPOT MAN DONT FORGET IT SPIKE WAS A BADASS WITH AN HONROARY SACRIFICE HE WASNT A DDLG WHORE SLUT CUMFUCKER WHO SAID SHUT YA FUCKIN DIRTY MOUTH YA FAGIT YOU WANT CALL OF DUTY COLD WAR I GAEM SHARE,en,[],[],[],0,0,0,[],[],https://twitter.com/gankstanipppp/status/1357940512041406464,False,,0,,,,,,,,"[{'screen_name': 'TristinGonzalez', 'name': 'Tristin', 'id': '459384191'}]",,,,
1357940508811694082,1357938960811495428,2021-02-06 14:33:41 Malay Peninsula Standard Time,2021-02-06,14:33:41,+0800,448068247,beatrixkiddo__,zoloft slut,,@gayz_anatomy yeah and I personally *do* wish you would cope differently,en,[],[],[],0,0,0,[],[],https://twitter.com/beatrixkiddo__/status/1357940508811694082,False,,0,,,,,,,,"[{'screen_name': 'gayz_anatomy', 'name': 'junglejim4322', 'id': '4477380395'}]",,,,
1357940497747124225,1357940497747124225,2021-02-06 14:33:38 Malay Peninsula Standard Time,2021-02-06,14:33:38,+0800,1283196599204630528,mmeaterr,mikasas slut,,im not funny anymore,en,[],[],[],0,0,0,[],[],https://twitter.com/mmeaterr/status/1357940497747124225,False,,0,,,,,,,,[],,,,
1357940471369060353,1357940471369060353,2021-02-06 14:33:32 Malay Peninsula Standard Time,2021-02-06,14:33:32,+0800,1233190952958754816,chewsday8795,maria 🍯| whore for the 1975,,I wanna pierce my nose so bad,en,[],[],[],0,0,0,[],[],https://twitter.com/chewsday8795/status/1357940471369060353,False,,0,,,,,,,,[],,,,
1357940463555153923,1357851300436795405,2021-02-06 14:33:30 Malay Peninsula Standard Time,2021-02-06,14:33:30,+0800,1076254075887353857,realnikkilexxi,Celestial Slut 🧜🏽‍♀️💫,,@earthdombaby i do this a lot but only have gemini placements in my sidereal chart 🤔,en,[],[],[],0,0,0,[],[],https://twitter.com/realnikkilexxi/status/1357940463555153923,False,,0,,,,,,,,"[{'screen_name': 'earthdombaby', 'name': '✨ mélanie ✨', 'id': '2161198398'}]",,,,
1357940455162277889,1357928663610626049,2021-02-06 14:33:28 Malay Peninsula Standard Time,2021-02-06,14:33:28,+0800,1194858327856910336,bunnyfetus,froggy whore kira,,@xSkyfree_ I'm awkward and scared,en,[],[],[],0,0,0,[],[],https://twitter.com/bunnyfetus/status/1357940455162277889,False,,0,,,,,,,,"[{'screen_name': 'xSkyfree_', 'name': 'LUNACY', 'id': '2465649599'}]",,,,
1357940446891110400,1357876663640612864,2021-02-06 14:33:26 Malay Peninsula Standard Time,2021-02-06,14:33:26,+0800,1236522494317735936,olujobisemi,Normani’s whore IJN🙏🏾,,@jade_solaa Lord let this pandemic end,en,[],[],[],0,0,0,[],[],https://twitter.com/OlujobiSemi/status/1357940446891110400,False,,0,,,,,,,,"[{'screen_name': 'jade_solaa', 'name': 'j*dé', 'id': '524894711'}]",,,,
1357940437722537985,1357940437722537985,2021-02-06 14:33:24 Malay Peninsula Standard Time,2021-02-06,14:33:24,+0800,1045465088604479488,rad420slut,micaceta 🕵🏻‍♀️,,Vê lá se eu for feio pode me falar na dm eu aceito ! SKsk — minha fibra otica quebro olha dm ta travada   https://t.co/mj95GSyuR8,pt,[],['https://curiouscat.qa/frankcccean/post/1181024616'],[],0,0,0,[],[],https://twitter.com/rad420slut/status/1357940437722537985,False,,0,,,,,,,,[],,,,
1357940423851843587,1357940423851843587,2021-02-06 14:33:21 Malay Peninsula Standard Time,2021-02-06,14:33:21,+0800,1272020743987974144,airicutie,Airi is a Cutie!,,"Since 'Outback Steakhouse' is apparently the thing I whore myself out for. I need to clear something up since people ask. No. It's not 'Australian food'. It's entirely American. In fact, the Outback Steakhouses we have in Australia are actually advertised as 'American food'. LOL!  https://t.co/tKyH1Dzu9N",en,[],[],['https://pbs.twimg.com/media/EthfSAqVIAYw9b6.jpg'],0,0,2,[],[],https://twitter.com/AiriCutie/status/1357940423851843587,False,,1,https://pbs.twimg.com/media/EthfSAqVIAYw9b6.jpg,,,,,,,[],,,,
1357940416058826755,1357931997318942720,2021-02-06 14:33:19 Malay Peninsula Standard Time,2021-02-06,14:33:19,+0800,1089993189015109633,zeppelinslut,Pransh🐱🌻,,@kinkybiryani We fucked his mental health bro,en,[],[],[],0,0,0,[],[],https://twitter.com/ZeppelinSlut/status/1357940416058826755,False,,0,,,,,,,,"[{'screen_name': 'kinkybiryani', 'name': 'Dhoka cat || meth ka parantha', 'id': '1291850429001654272'}]",,,,
1357940411797495809,1357940411797495809,2021-02-06 14:33:18 Malay Peninsula Standard Time,2021-02-06,14:33:18,+0800,33596635,wordfragments,Pictured Fragments,,How does a injured prostitute wizard get around?  With a whore-crutch.   #WeHadSexAndNow I’m telling dad jokes.,en,[],[],[],0,0,0,['wehadsexandnow'],[],https://twitter.com/WordFragments/status/1357940411797495809,False,,0,,,,,,,,[],,,,
1357940405296365568,1357939881369083904,2021-02-06 14:33:16 Malay Peninsula Standard Time,2021-02-06,14:33:16,+0800,1260639620213149703,f13arless,em | haylee’s whore,,we’re experiencing so much and not necessarily learning but learning still? idk it’s just really cool when you think about it because it seems normal to us at this point,en,[],[],[],0,0,0,[],[],https://twitter.com/F13ARLESS/status/1357940405296365568,False,,0,,,,,,,,[],,,,
1357940403673190401,1357939881369083904,2021-02-06 14:33:16 Malay Peninsula Standard Time,2021-02-06,14:33:16,+0800,1260639620213149703,f13arless,em | haylee’s whore,,"and our parents never had that,, not to be all “omg our generation” or anything but just thinking about not only the access to basic information like for school or anything but literally just by being on the internet in the capacity that we are (stan twitter especially whoops)-",en,[],[],[],1,0,0,[],[],https://twitter.com/F13ARLESS/status/1357940403673190401,False,,0,,,,,,,,[],,,,
1357940391492812800,1357934159944163328,2021-02-06 14:33:13 Malay Peninsula Standard Time,2021-02-06,14:33:13,+0800,2854723346,1dand5sosfeelss,canyon moon slut,,@kitstairs No why did you put this into my mind,en,[],[],[],1,0,1,[],[],https://twitter.com/1dand5sosfeelss/status/1357940391492812800,False,,0,,,,,,,,"[{'screen_name': 'kitstairs', 'name': 'rachel carstairs 🍊', 'id': '1242275549017325569'}]",,,,
1357940388519161857,1357940388519161857,2021-02-06 14:33:12 Malay Peninsula Standard Time,2021-02-06,14:33:12,+0800,2723209691,theywantlexx,ѕтυcĸ υp,,cant save a slut hoe.,en,[],[],[],0,0,0,[],[],https://twitter.com/theywantLEXX/status/1357940388519161857,False,,0,,,,,,,,[],,,,
1357940386967089153,1357928663610626049,2021-02-06 14:33:12 Malay Peninsula Standard Time,2021-02-06,14:33:12,+0800,1194858327856910336,bunnyfetus,froggy whore kira,,@mcdcks I'm scared of this dude fr,en,[],[],[],0,0,1,[],[],https://twitter.com/bunnyfetus/status/1357940386967089153,False,,0,,,,,,,,"[{'screen_name': 'mcdcks', 'name': '☆ jen ☆', 'id': '1114906610151960576'}]",,,,
1357940365479862275,1357939738758553600,2021-02-06 14:33:07 Malay Peninsula Standard Time,2021-02-06,14:33:07,+0800,853601094051692544,motmjorge,chri$tian dior whore,,@m3shpit Ok,und,[],[],[],0,0,0,[],[],https://twitter.com/motmjorge/status/1357940365479862275,False,,0,,,,,,,,"[{'screen_name': 'm3shpit', 'name': 'm3sh🦇', 'id': '1347978105525309441'}]",,,,
1357940361356713985,1357842171303370754,2021-02-06 14:33:06 Malay Peninsula Standard Time,2021-02-06,14:33:06,+0800,1434499710,tygarstories,Ty,,"@extravapanda I think you mean, ""whore elitist.""",en,[],[],[],0,0,0,[],[],https://twitter.com/TyGarStories/status/1357940361356713985,False,,0,,,,,,,,"[{'screen_name': 'extravapanda', 'name': 'I have the power of god and anime on my side', 'id': '3524007672'}]",,,,
1357940337151332352,1357845068426604544,2021-02-06 14:33:00 Malay Peninsula Standard Time,2021-02-06,14:33:00,+0800,740790375678390273,whoresition,WHORE OF D7,,@iambuterastann Pls i thought you were underage?????? And living in Indonesia??????,en,[],[],[],0,0,0,[],[],https://twitter.com/whoresition/status/1357940337151332352,False,,0,,,,,,,,"[{'screen_name': 'iambuterastann', 'name': 'dev ᴺᴹ', 'id': '1238756629807419392'}]",,,,
1357940313826881538,1357939349346635778,2021-02-06 14:32:54 Malay Peninsula Standard Time,2021-02-06,14:32:54,+0800,746927953963999232,fangirlkaygwy,YANNA IS NOT A SLUT,,@aubricassianna Yuhhh HAHAHHAHAHAHAHAHAHA,tl,[],[],[],0,0,0,[],[],https://twitter.com/fangirlkaygwy/status/1357940313826881538,False,,0,,,,,,,,"[{'screen_name': 'aubricassianna', 'name': 'ً', 'id': '1259159083992485889'}]",,,,
1357940292205359104,1357937846259228672,2021-02-06 14:32:49 Malay Peninsula Standard Time,2021-02-06,14:32:49,+0800,1213219108231118849,murdocslilwhore,Honey,,@Scottjate Nonono change that to a /s because I’m a giant whore,en,[],[],[],0,0,0,[],[],https://twitter.com/Murdocslilwhore/status/1357940292205359104,False,,0,,,,,,,,"[{'screen_name': 'Scottjate', 'name': 'Jate asf ★ 😼', 'id': '1083929595970314240'}]",,,,
1357940286224281601,1357940286224281601,2021-02-06 14:32:48 Malay Peninsula Standard Time,2021-02-06,14:32:48,+0800,1166679324411514881,bitchardstan,richard’s coke whore,,the fact that i think of richard and listen to cocteau twins when i want comfort..,en,[],[],[],0,0,0,[],[],https://twitter.com/bitchardstan/status/1357940286224281601,False,,0,,,,,,,,[],,,,
1357940276619313152,1357935357099188225,2021-02-06 14:32:45 Malay Peninsula Standard Time,2021-02-06,14:32:45,+0800,2847544833,jakkeeyuh,🧘🏿black jack🧘🏿,,@slut_josh 😏😤,und,[],[],[],0,0,0,[],[],https://twitter.com/jakkeeyuh/status/1357940276619313152,False,,0,,,,,,,,"[{'screen_name': 'slut_josh', 'name': 'An Josh', 'id': '1175395174677172224'}]",,,,
1357940266519441408,1357785016680525826,2021-02-06 14:32:43 Malay Peninsula Standard Time,2021-02-06,14:32:43,+0800,1306761402108071937,reikaorup,whore (cris) 🥞🦇 kuzuhaP,,@remiasaki cakakaketeeeeeeeeeeeeeeeeeee,pt,[],[],[],0,0,0,[],[],https://twitter.com/reikaoruP/status/1357940266519441408,False,,0,,,,,,,,"[{'screen_name': 'remiasaki', 'name': 'noah. 🌐 kanaeP', 'id': '1253041301551013890'}]",,,,
1357940262262161408,1357940262262161408,2021-02-06 14:32:42 Malay Peninsula Standard Time,2021-02-06,14:32:42,+0800,406073893,thaatsssquan,quan💜,,I might fuck yo friend and record and send it to u whore,en,[],[],[],0,0,0,[],[],https://twitter.com/thaatsssquan/status/1357940262262161408,False,,0,,,,,,,,[],,,,
